Year,LSS,LSS Name,School,School Name,Grade,Enrolled Count,Create Date
2022,01,Allegany,0301,Flintstone Elementary,Prekindergarten Age 4,18,20220119
2022,01,Allegany,0301,Flintstone Elementary,Kindergarten,32,20220119
2022,01,Allegany,0301,Flintstone Elementary,Grade 1,31,20220119
2022,01,Allegany,0301,Flintstone Elementary,Grade 2,27,20220119
2022,01,Allegany,0301,Flintstone Elementary,Grade 3,32,20220119
2022,01,Allegany,0301,Flintstone Elementary,Grade 4,37,20220119
2022,01,Allegany,0301,Flintstone Elementary,Grade 5,34,20220119
2022,01,Allegany,0301,Flintstone Elementary,All Grades,211,20220119
2022,01,Allegany,0401,South Penn Elementary,Prekindergarten Age 4,75,20220119
2022,01,Allegany,0401,South Penn Elementary,Kindergarten,60,20220119
2022,01,Allegany,0401,South Penn Elementary,Grade 1,62,20220119
2022,01,Allegany,0401,South Penn Elementary,Grade 2,63,20220119
2022,01,Allegany,0401,South Penn Elementary,Grade 3,90,20220119
2022,01,Allegany,0401,South Penn Elementary,Grade 4,79,20220119
2022,01,Allegany,0401,South Penn Elementary,Grade 5,71,20220119
2022,01,Allegany,0401,South Penn Elementary,All Grades,500,20220119
2022,01,Allegany,0402,John Humbird Elementary,Prekindergarten Age 4,36,20220119
2022,01,Allegany,0402,John Humbird Elementary,Kindergarten,24,20220119
2022,01,Allegany,0402,John Humbird Elementary,Grade 1,36,20220119
2022,01,Allegany,0402,John Humbird Elementary,Grade 2,33,20220119
2022,01,Allegany,0402,John Humbird Elementary,Grade 3,30,20220119
2022,01,Allegany,0402,John Humbird Elementary,Grade 4,35,20220119
2022,01,Allegany,0402,John Humbird Elementary,Grade 5,43,20220119
2022,01,Allegany,0402,John Humbird Elementary,All Grades,237,20220119
2022,01,Allegany,0405,Fort Hill High,Grade 9,202,20220119
2022,01,Allegany,0405,Fort Hill High,Grade 10,184,20220119
2022,01,Allegany,0405,Fort Hill High,Grade 11,135,20220119
2022,01,Allegany,0405,Fort Hill High,Grade 12,141,20220119
2022,01,Allegany,0405,Fort Hill High,All Grades,662,20220119
2022,01,Allegany,0406,Washington Middle,Grade 6,211,20220119
2022,01,Allegany,0406,Washington Middle,Grade 7,197,20220119
2022,01,Allegany,0406,Washington Middle,Grade 8,197,20220119
2022,01,Allegany,0406,Washington Middle,All Grades,605,20220119
2022,01,Allegany,0502,Northeast Elementary,Prekindergarten Age 4,22,20220119
2022,01,Allegany,0502,Northeast Elementary,Kindergarten,48,20220119
2022,01,Allegany,0502,Northeast Elementary,Grade 1,38,20220119
2022,01,Allegany,0502,Northeast Elementary,Grade 2,39,20220119
2022,01,Allegany,0502,Northeast Elementary,Grade 3,41,20220119
2022,01,Allegany,0502,Northeast Elementary,Grade 4,42,20220119
2022,01,Allegany,0502,Northeast Elementary,Grade 5,48,20220119
2022,01,Allegany,0502,Northeast Elementary,All Grades,278,20220119
2022,01,Allegany,0504,Braddock Middle,Grade 6,200,20220119
2022,01,Allegany,0504,Braddock Middle,Grade 7,197,20220119
2022,01,Allegany,0504,Braddock Middle,Grade 8,207,20220119
2022,01,Allegany,0504,Braddock Middle,All Grades,604,20220119
2022,01,Allegany,0601,Center for Career & Technical Education,Grade 11,115,20220119
2022,01,Allegany,0601,Center for Career & Technical Education,Grade 12,127,20220119
2022,01,Allegany,0601,Center for Career & Technical Education,All Grades,242,20220119
2022,01,Allegany,0603,West Side Elementary,Prekindergarten Age 4,19,20220119
2022,01,Allegany,0603,West Side Elementary,Kindergarten,29,20220119
2022,01,Allegany,0603,West Side Elementary,Grade 1,50,20220119
2022,01,Allegany,0603,West Side Elementary,Grade 2,49,20220119
2022,01,Allegany,0603,West Side Elementary,Grade 3,50,20220119
2022,01,Allegany,0603,West Side Elementary,Grade 4,54,20220119
2022,01,Allegany,0603,West Side Elementary,Grade 5,52,20220119
2022,01,Allegany,0603,West Side Elementary,All Grades,303,20220119
2022,01,Allegany,0606,Allegany High,Grade 9,194,20220119
2022,01,Allegany,0606,Allegany High,Grade 10,210,20220119
2022,01,Allegany,0606,Allegany High,Grade 11,139,20220119
2022,01,Allegany,0606,Allegany High,Grade 12,194,20220119
2022,01,Allegany,0606,Allegany High,All Grades,737,20220119
2022,01,Allegany,0701,Cresaptown Elementary,Prekindergarten Age 4,19,20220119
2022,01,Allegany,0701,Cresaptown Elementary,Kindergarten,44,20220119
2022,01,Allegany,0701,Cresaptown Elementary,Grade 1,34,20220119
2022,01,Allegany,0701,Cresaptown Elementary,Grade 2,46,20220119
2022,01,Allegany,0701,Cresaptown Elementary,Grade 3,43,20220119
2022,01,Allegany,0701,Cresaptown Elementary,Grade 4,48,20220119
2022,01,Allegany,0701,Cresaptown Elementary,Grade 5,49,20220119
2022,01,Allegany,0701,Cresaptown Elementary,All Grades,283,20220119
2022,01,Allegany,0702,Bel Air Elementary,Prekindergarten Age 4,16,20220119
2022,01,Allegany,0702,Bel Air Elementary,Kindergarten,35,20220119
2022,01,Allegany,0702,Bel Air Elementary,Grade 1,32,20220119
2022,01,Allegany,0702,Bel Air Elementary,Grade 2,31,20220119
2022,01,Allegany,0702,Bel Air Elementary,Grade 3,36,20220119
2022,01,Allegany,0702,Bel Air Elementary,Grade 4,28,20220119
2022,01,Allegany,0702,Bel Air Elementary,Grade 5,31,20220119
2022,01,Allegany,0702,Bel Air Elementary,All Grades,209,20220119
2022,01,Allegany,0801,Westernport Elementary,Prekindergarten Age 4,31,20220119
2022,01,Allegany,0801,Westernport Elementary,Kindergarten,46,20220119
2022,01,Allegany,0801,Westernport Elementary,Grade 1,33,20220119
2022,01,Allegany,0801,Westernport Elementary,Grade 2,42,20220119
2022,01,Allegany,0801,Westernport Elementary,Grade 3,41,20220119
2022,01,Allegany,0801,Westernport Elementary,Grade 4,38,20220119
2022,01,Allegany,0801,Westernport Elementary,Grade 5,41,20220119
2022,01,Allegany,0801,Westernport Elementary,All Grades,272,20220119
2022,01,Allegany,0802,Westmar Middle,Grade 6,72,20220119
2022,01,Allegany,0802,Westmar Middle,Grade 7,86,20220119
2022,01,Allegany,0802,Westmar Middle,Grade 8,74,20220119
2022,01,Allegany,0802,Westmar Middle,All Grades,232,20220119
2022,01,Allegany,1001,George's Creek Elementary,Prekindergarten Age 4,35,20220119
2022,01,Allegany,1001,George's Creek Elementary,Kindergarten,32,20220119
2022,01,Allegany,1001,George's Creek Elementary,Grade 1,25,20220119
2022,01,Allegany,1001,George's Creek Elementary,Grade 2,42,20220119
2022,01,Allegany,1001,George's Creek Elementary,Grade 3,36,20220119
2022,01,Allegany,1001,George's Creek Elementary,Grade 4,52,20220119
2022,01,Allegany,1001,George's Creek Elementary,Grade 5,36,20220119
2022,01,Allegany,1001,George's Creek Elementary,All Grades,258,20220119
2022,01,Allegany,1101,Frost Elementary,Prekindergarten Age 4,19,20220119
2022,01,Allegany,1101,Frost Elementary,Kindergarten,37,20220119
2022,01,Allegany,1101,Frost Elementary,Grade 1,21,20220119
2022,01,Allegany,1101,Frost Elementary,Grade 2,31,20220119
2022,01,Allegany,1101,Frost Elementary,Grade 3,18,20220119
2022,01,Allegany,1101,Frost Elementary,Grade 4,34,20220119
2022,01,Allegany,1101,Frost Elementary,Grade 5,30,20220119
2022,01,Allegany,1101,Frost Elementary,All Grades,190,20220119
2022,01,Allegany,1301,Mount Savage Middle,Grade 6,142,20220119
2022,01,Allegany,1301,Mount Savage Middle,Grade 7,126,20220119
2022,01,Allegany,1301,Mount Savage Middle,Grade 8,131,20220119
2022,01,Allegany,1301,Mount Savage Middle,All Grades,399,20220119
2022,01,Allegany,1302,Mt. Savage Elementary,Prekindergarten Age 4,18,20220119
2022,01,Allegany,1302,Mt. Savage Elementary,Kindergarten,22,20220119
2022,01,Allegany,1302,Mt. Savage Elementary,Grade 1,37,20220119
2022,01,Allegany,1302,Mt. Savage Elementary,Grade 2,32,20220119
2022,01,Allegany,1302,Mt. Savage Elementary,Grade 3,26,20220119
2022,01,Allegany,1302,Mt. Savage Elementary,Grade 4,31,20220119
2022,01,Allegany,1302,Mt. Savage Elementary,Grade 5,33,20220119
2022,01,Allegany,1302,Mt. Savage Elementary,All Grades,199,20220119
2022,01,Allegany,2404,Mountain Ridge High School,Grade 9,212,20220119
2022,01,Allegany,2404,Mountain Ridge High School,Grade 10,214,20220119
2022,01,Allegany,2404,Mountain Ridge High School,Grade 11,158,20220119
2022,01,Allegany,2404,Mountain Ridge High School,Grade 12,167,20220119
2022,01,Allegany,2404,Mountain Ridge High School,All Grades,751,20220119
2022,01,Allegany,2801,Beall Elementary,Prekindergarten Age 4,70,20220119
2022,01,Allegany,2801,Beall Elementary,Kindergarten,54,20220119
2022,01,Allegany,2801,Beall Elementary,Grade 1,70,20220119
2022,01,Allegany,2801,Beall Elementary,Grade 2,71,20220119
2022,01,Allegany,2801,Beall Elementary,Grade 3,61,20220119
2022,01,Allegany,2801,Beall Elementary,Grade 4,71,20220119
2022,01,Allegany,2801,Beall Elementary,Grade 5,73,20220119
2022,01,Allegany,2801,Beall Elementary,All Grades,470,20220119
2022,01,Allegany,2901,Cash Valley Elementary,Prekindergarten Age 4,48,20220119
2022,01,Allegany,2901,Cash Valley Elementary,Kindergarten,43,20220119
2022,01,Allegany,2901,Cash Valley Elementary,Grade 1,44,20220119
2022,01,Allegany,2901,Cash Valley Elementary,Grade 2,44,20220119
2022,01,Allegany,2901,Cash Valley Elementary,Grade 3,36,20220119
2022,01,Allegany,2901,Cash Valley Elementary,Grade 4,34,20220119
2022,01,Allegany,2901,Cash Valley Elementary,Grade 5,36,20220119
2022,01,Allegany,2901,Cash Valley Elementary,All Grades,285,20220119
2022,01,Allegany,2902,Parkside Elementary,Prekindergarten Age 4,13,20220119
2022,01,Allegany,2902,Parkside Elementary,Kindergarten,27,20220119
2022,01,Allegany,2902,Parkside Elementary,Grade 1,29,20220119
2022,01,Allegany,2902,Parkside Elementary,Grade 2,39,20220119
2022,01,Allegany,2902,Parkside Elementary,Grade 3,33,20220119
2022,01,Allegany,2902,Parkside Elementary,Grade 4,32,20220119
2022,01,Allegany,2902,Parkside Elementary,Grade 5,32,20220119
2022,01,Allegany,2902,Parkside Elementary,All Grades,205,20220119
2022,01,Allegany,A,All Allegany Schools,All Prekindergarten,439,20220119
2022,01,Allegany,A,All Allegany Schools,All Kindergarten ,533,20220119
2022,01,Allegany,A,All Allegany Schools,All Elementary Grades,2928,20220119
2022,01,Allegany,A,All Allegany Schools,All Middle School Grades,1840,20220119
2022,01,Allegany,A,All Allegany Schools,All High School Grades,2392,20220119
2022,01,Allegany,A,All Allegany Schools,All Grades,8132,20220119
2022,02,Anne Arundel,1023,Brooklyn Park Middle,Grade 6,253,20220119
2022,02,Anne Arundel,1023,Brooklyn Park Middle,Grade 7,299,20220119
2022,02,Anne Arundel,1023,Brooklyn Park Middle,Grade 8,282,20220119
2022,02,Anne Arundel,1023,Brooklyn Park Middle,All Grades,834,20220119
2022,02,Anne Arundel,1033,Glen Burnie High,Grade 9,667,20220119
2022,02,Anne Arundel,1033,Glen Burnie High,Grade 10,577,20220119
2022,02,Anne Arundel,1033,Glen Burnie High,Grade 11,464,20220119
2022,02,Anne Arundel,1033,Glen Burnie High,Grade 12,485,20220119
2022,02,Anne Arundel,1033,Glen Burnie High,All Grades,2193,20220119
2022,02,Anne Arundel,1043,Corkran Middle School,Grade 6,197,20220119
2022,02,Anne Arundel,1043,Corkran Middle School,Grade 7,225,20220119
2022,02,Anne Arundel,1043,Corkran Middle School,Grade 8,210,20220119
2022,02,Anne Arundel,1043,Corkran Middle School,All Grades,632,20220119
