Academic Year,LEA Number,LEA Name,School Number,School Name,Grade Title,Enrolled Count,Create Date
2008,01,Allegany,0301,Flintstone Elementary,Prekindergarten,20,20120327
2008,01,Allegany,0301,Flintstone Elementary,Kindergarten,36,20120327
2008,01,Allegany,0301,Flintstone Elementary,Grade 1,37,20120327
2008,01,Allegany,0301,Flintstone Elementary,Grade 2,40,20120327
2008,01,Allegany,0301,Flintstone Elementary,Grade 3,37,20120327
2008,01,Allegany,0301,Flintstone Elementary,Grade 4,40,20120327
2008,01,Allegany,0301,Flintstone Elementary,Grade 5,44,20120327
2008,01,Allegany,0301,Flintstone Elementary,Total Enrollment,254,20120327
2008,01,Allegany,0401,South Penn Elementary,Prekindergarten,42,20120327
2008,01,Allegany,0401,South Penn Elementary,Kindergarten,91,20120327
2008,01,Allegany,0401,South Penn Elementary,Grade 1,60,20120327
2008,01,Allegany,0401,South Penn Elementary,Grade 2,73,20120327
2008,01,Allegany,0401,South Penn Elementary,Grade 3,72,20120327
2008,01,Allegany,0401,South Penn Elementary,Grade 4,68,20120327
2008,01,Allegany,0401,South Penn Elementary,Grade 5,84,20120327
2008,01,Allegany,0401,South Penn Elementary,Total Enrollment,490,20120327
2008,01,Allegany,0402,John Humbird Elementary,Prekindergarten,40,20120327
2008,01,Allegany,0402,John Humbird Elementary,Kindergarten,52,20120327
2008,01,Allegany,0402,John Humbird Elementary,Grade 1,48,20120327
2008,01,Allegany,0402,John Humbird Elementary,Grade 2,49,20120327
2008,01,Allegany,0402,John Humbird Elementary,Grade 3,49,20120327
2008,01,Allegany,0402,John Humbird Elementary,Grade 4,46,20120327
2008,01,Allegany,0402,John Humbird Elementary,Grade 5,53,20120327
2008,01,Allegany,0402,John Humbird Elementary,Total Enrollment,337,20120327
2008,01,Allegany,0405,Fort Hill High,Grade 9,261,20120327
2008,01,Allegany,0405,Fort Hill High,Grade 10,238,20120327
2008,01,Allegany,0405,Fort Hill High,Grade 11,278,20120327
2008,01,Allegany,0405,Fort Hill High,Grade 12,249,20120327
2008,01,Allegany,0405,Fort Hill High,Total Enrollment,1026,20120327
2008,01,Allegany,0406,Washington Middle,Grade 6,221,20120327
2008,01,Allegany,0406,Washington Middle,Grade 7,226,20120327
2008,01,Allegany,0406,Washington Middle,Grade 8,232,20120327
2008,01,Allegany,0406,Washington Middle,Total Enrollment,679,20120327
2008,01,Allegany,0502,Northeast Elementary,Prekindergarten,38,20120327
2008,01,Allegany,0502,Northeast Elementary,Kindergarten,50,20120327
2008,01,Allegany,0502,Northeast Elementary,Grade 1,53,20120327
2008,01,Allegany,0502,Northeast Elementary,Grade 2,53,20120327
2008,01,Allegany,0502,Northeast Elementary,Grade 3,62,20120327
2008,01,Allegany,0502,Northeast Elementary,Grade 4,47,20120327
2008,01,Allegany,0502,Northeast Elementary,Grade 5,55,20120327
2008,01,Allegany,0502,Northeast Elementary,Total Enrollment,358,20120327
2008,01,Allegany,0504,Braddock Middle,Grade 6,198,20120327
2008,01,Allegany,0504,Braddock Middle,Grade 7,204,20120327
2008,01,Allegany,0504,Braddock Middle,Grade 8,210,20120327
2008,01,Allegany,0504,Braddock Middle,Total Enrollment,612,20120327
2008,01,Allegany,0603,West Side Elementary,Prekindergarten,24,20120327
2008,01,Allegany,0603,West Side Elementary,Kindergarten,56,20120327
2008,01,Allegany,0603,West Side Elementary,Grade 1,42,20120327
2008,01,Allegany,0603,West Side Elementary,Grade 2,47,20120327
2008,01,Allegany,0603,West Side Elementary,Grade 3,39,20120327
2008,01,Allegany,0603,West Side Elementary,Grade 4,50,20120327
2008,01,Allegany,0603,West Side Elementary,Grade 5,55,20120327
2008,01,Allegany,0603,West Side Elementary,Total Enrollment,313,20120327
2008,01,Allegany,0606,Allegany High,Grade 9,228,20120327
2008,01,Allegany,0606,Allegany High,Grade 10,240,20120327
2008,01,Allegany,0606,Allegany High,Grade 11,202,20120327
2008,01,Allegany,0606,Allegany High,Grade 12,223,20120327
2008,01,Allegany,0606,Allegany High,Total Enrollment,893,20120327
2008,01,Allegany,0701,Cresaptown Elementary,Prekindergarten,31,20120327
2008,01,Allegany,0701,Cresaptown Elementary,Kindergarten,53,20120327
2008,01,Allegany,0701,Cresaptown Elementary,Grade 1,51,20120327
2008,01,Allegany,0701,Cresaptown Elementary,Grade 2,49,20120327
2008,01,Allegany,0701,Cresaptown Elementary,Grade 3,51,20120327
2008,01,Allegany,0701,Cresaptown Elementary,Grade 4,52,20120327
2008,01,Allegany,0701,Cresaptown Elementary,Grade 5,50,20120327
2008,01,Allegany,0701,Cresaptown Elementary,Total Enrollment,337,20120327
2008,01,Allegany,0702,Bel Air Elementary,Prekindergarten,32,20120327
2008,01,Allegany,0702,Bel Air Elementary,Kindergarten,35,20120327
2008,01,Allegany,0702,Bel Air Elementary,Grade 1,34,20120327
2008,01,Allegany,0702,Bel Air Elementary,Grade 2,30,20120327
2008,01,Allegany,0702,Bel Air Elementary,Grade 3,44,20120327
2008,01,Allegany,0702,Bel Air Elementary,Grade 4,38,20120327
2008,01,Allegany,0702,Bel Air Elementary,Grade 5,41,20120327
2008,01,Allegany,0702,Bel Air Elementary,Total Enrollment,254,20120327
2008,01,Allegany,0801,Westernport Elementary,Prekindergarten,31,20120327
2008,01,Allegany,0801,Westernport Elementary,Kindergarten,39,20120327
2008,01,Allegany,0801,Westernport Elementary,Grade 1,40,20120327
2008,01,Allegany,0801,Westernport Elementary,Grade 2,40,20120327
2008,01,Allegany,0801,Westernport Elementary,Grade 3,43,20120327
2008,01,Allegany,0801,Westernport Elementary,Grade 4,40,20120327
2008,01,Allegany,0801,Westernport Elementary,Grade 5,34,20120327
