Academic Year,LEA Number,LEA Name,School Number,School Name,Grade Title,Enrolled Count,Create Date
2006,01,Allegany,0301,Flintstone Elementary,Kindergarten,39,20120327
2006,01,Allegany,0301,Flintstone Elementary,Grade 1,37,20120327
2006,01,Allegany,0301,Flintstone Elementary,Grade 2,31,20120327
2006,01,Allegany,0301,Flintstone Elementary,Grade 3,42,20120327
2006,01,Allegany,0301,Flintstone Elementary,Grade 4,37,20120327
2006,01,Allegany,0301,Flintstone Elementary,Grade 5,37,20120327
2006,01,Allegany,0301,Flintstone Elementary,Total Enrollment,223,20120327
2006,01,Allegany,0401,South Penn Elementary,Prekindergarten,54,20120327
2006,01,Allegany,0401,South Penn Elementary,Kindergarten,69,20120327
2006,01,Allegany,0401,South Penn Elementary,Grade 1,74,20120327
2006,01,Allegany,0401,South Penn Elementary,Grade 2,68,20120327
2006,01,Allegany,0401,South Penn Elementary,Grade 3,81,20120327
2006,01,Allegany,0401,South Penn Elementary,Grade 4,71,20120327
2006,01,Allegany,0401,South Penn Elementary,Grade 5,86,20120327
2006,01,Allegany,0401,South Penn Elementary,Total Enrollment,503,20120327
2006,01,Allegany,0402,John Humbird Elementary,Prekindergarten,37,20120327
2006,01,Allegany,0402,John Humbird Elementary,Kindergarten,63,20120327
2006,01,Allegany,0402,John Humbird Elementary,Grade 1,54,20120327
2006,01,Allegany,0402,John Humbird Elementary,Grade 2,46,20120327
2006,01,Allegany,0402,John Humbird Elementary,Grade 3,60,20120327
2006,01,Allegany,0402,John Humbird Elementary,Grade 4,53,20120327
2006,01,Allegany,0402,John Humbird Elementary,Grade 5,47,20120327
2006,01,Allegany,0402,John Humbird Elementary,Total Enrollment,360,20120327
2006,01,Allegany,0405,Fort Hill High,Grade 9,281,20120327
2006,01,Allegany,0405,Fort Hill High,Grade 10,288,20120327
2006,01,Allegany,0405,Fort Hill High,Grade 11,270,20120327
2006,01,Allegany,0405,Fort Hill High,Grade 12,252,20120327
2006,01,Allegany,0405,Fort Hill High,Total Enrollment,1091,20120327
2006,01,Allegany,0406,Washington Middle,Grade 6,230,20120327
2006,01,Allegany,0406,Washington Middle,Grade 7,256,20120327
2006,01,Allegany,0406,Washington Middle,Grade 8,259,20120327
2006,01,Allegany,0406,Washington Middle,Total Enrollment,745,20120327
2006,01,Allegany,0502,Northeast Elementary,Prekindergarten,30,20120327
2006,01,Allegany,0502,Northeast Elementary,Kindergarten,46,20120327
2006,01,Allegany,0502,Northeast Elementary,Grade 1,56,20120327
2006,01,Allegany,0502,Northeast Elementary,Grade 2,46,20120327
2006,01,Allegany,0502,Northeast Elementary,Grade 3,53,20120327
2006,01,Allegany,0502,Northeast Elementary,Grade 4,52,20120327
2006,01,Allegany,0502,Northeast Elementary,Grade 5,44,20120327
2006,01,Allegany,0502,Northeast Elementary,Total Enrollment,327,20120327
2006,01,Allegany,0504,Braddock Middle,Grade 6,207,20120327
2006,01,Allegany,0504,Braddock Middle,Grade 7,228,20120327
2006,01,Allegany,0504,Braddock Middle,Grade 8,236,20120327
2006,01,Allegany,0504,Braddock Middle,Total Enrollment,671,20120327
2006,01,Allegany,0603,West Side Elementary,Prekindergarten,26,20120327
2006,01,Allegany,0603,West Side Elementary,Kindergarten,46,20120327
2006,01,Allegany,0603,West Side Elementary,Grade 1,33,20120327
2006,01,Allegany,0603,West Side Elementary,Grade 2,36,20120327
2006,01,Allegany,0603,West Side Elementary,Grade 3,53,20120327
2006,01,Allegany,0603,West Side Elementary,Grade 4,50,20120327
2006,01,Allegany,0603,West Side Elementary,Grade 5,45,20120327
2006,01,Allegany,0603,West Side Elementary,Total Enrollment,289,20120327
2006,01,Allegany,0606,Allegany High,Grade 9,219,20120327
2006,01,Allegany,0606,Allegany High,Grade 10,251,20120327
2006,01,Allegany,0606,Allegany High,Grade 11,230,20120327
2006,01,Allegany,0606,Allegany High,Grade 12,236,20120327
2006,01,Allegany,0606,Allegany High,Total Enrollment,936,20120327
2006,01,Allegany,0701,Cresaptown Elementary,Prekindergarten,35,20120327
2006,01,Allegany,0701,Cresaptown Elementary,Kindergarten,46,20120327
2006,01,Allegany,0701,Cresaptown Elementary,Grade 1,57,20120327
2006,01,Allegany,0701,Cresaptown Elementary,Grade 2,60,20120327
2006,01,Allegany,0701,Cresaptown Elementary,Grade 3,50,20120327
2006,01,Allegany,0701,Cresaptown Elementary,Grade 4,61,20120327
2006,01,Allegany,0701,Cresaptown Elementary,Grade 5,48,20120327
2006,01,Allegany,0701,Cresaptown Elementary,Total Enrollment,357,20120327
2006,01,Allegany,0702,Bel Air Elementary,Prekindergarten,19,20120327
2006,01,Allegany,0702,Bel Air Elementary,Kindergarten,32,20120327
2006,01,Allegany,0702,Bel Air Elementary,Grade 1,37,20120327
2006,01,Allegany,0702,Bel Air Elementary,Grade 2,39,20120327
2006,01,Allegany,0702,Bel Air Elementary,Grade 3,38,20120327
2006,01,Allegany,0702,Bel Air Elementary,Grade 4,39,20120327
2006,01,Allegany,0702,Bel Air Elementary,Grade 5,35,20120327
2006,01,Allegany,0702,Bel Air Elementary,Total Enrollment,239,20120327
2006,01,Allegany,0801,Westernport Elementary,Prekindergarten,24,20120327
2006,01,Allegany,0801,Westernport Elementary,Kindergarten,35,20120327
2006,01,Allegany,0801,Westernport Elementary,Grade 1,45,20120327
2006,01,Allegany,0801,Westernport Elementary,Grade 2,44,20120327
2006,01,Allegany,0801,Westernport Elementary,Grade 3,39,20120327
2006,01,Allegany,0801,Westernport Elementary,Grade 4,44,20120327
2006,01,Allegany,0801,Westernport Elementary,Grade 5,52,20120327
2006,01,Allegany,0801,Westernport Elementary,Total Enrollment,283,20120327
2006,01,Allegany,0802,Westmar Middle,Grade 6,94,20120327
2006,01,Allegany,0802,Westmar Middle,Grade 7,113,20120327
2006,01,Allegany,0802,Westmar Middle,Grade 8,113,20120327
2006,01,Allegany,0802,Westmar Middle,Total Enrollment,320,20120327
2006,01,Allegany,1001,George's Creek Elementary,Prekindergarten,36,20120327
2006,01,Allegany,1001,George's Creek Elementary,Kindergarten,70,20120327
2006,01,Allegany,1001,George's Creek Elementary,Grade 1,42,20120327
2006,01,Allegany,1001,George's Creek Elementary,Grade 2,58,20120327
2006,01,Allegany,1001,George's Creek Elementary,Grade 3,58,20120327
2006,01,Allegany,1001,George's Creek Elementary,Grade 4,54,20120327
2006,01,Allegany,1001,George's Creek Elementary,Grade 5,52,20120327
2006,01,Allegany,1001,George's Creek Elementary,Total Enrollment,370,20120327
2006,01,Allegany,1002,Westmar High,Grade 9,110,20120327
2006,01,Allegany,1002,Westmar High,Grade 10,126,20120327
2006,01,Allegany,1002,Westmar High,Grade 11,111,20120327
2006,01,Allegany,1002,Westmar High,Grade 12,116,20120327
2006,01,Allegany,1002,Westmar High,Total Enrollment,463,20120327
2006,01,Allegany,1101,Frost Elementary,Kindergarten,35,20120327
2006,01,Allegany,1101,Frost Elementary,Grade 1,36,20120327
2006,01,Allegany,1101,Frost Elementary,Grade 2,34,20120327
2006,01,Allegany,1101,Frost Elementary,Grade 3,48,20120327
2006,01,Allegany,1101,Frost Elementary,Grade 4,35,20120327
2006,01,Allegany,1101,Frost Elementary,Grade 5,39,20120327
2006,01,Allegany,1101,Frost Elementary,Total Enrollment,227,20120327
2006,01,Allegany,1301,Mount Savage Middle,Grade 6,140,20120327
2006,01,Allegany,1301,Mount Savage Middle,Grade 7,150,20120327
2006,01,Allegany,1301,Mount Savage Middle,Grade 8,150,20120327
