Academic Year,LEA Number,LEA Name,School Number,School Name,Grade,Enrolled Count,Create Date
2015,1,Allegany,301,Flintstone Elementary,Prekindergarten,19,20150724
2015,1,Allegany,301,Flintstone Elementary,Kindergarten,37,20150724
2015,1,Allegany,301,Flintstone Elementary,Grade 1,43,20150724
2015,1,Allegany,301,Flintstone Elementary,Grade 2,39,20150724
2015,1,Allegany,301,Flintstone Elementary,Grade 3,32,20150724
2015,1,Allegany,301,Flintstone Elementary,Grade 4,35,20150724
2015,1,Allegany,301,Flintstone Elementary,Grade 5,32,20150724
2015,1,Allegany,301,Flintstone Elementary,Total Enrollment,237,20150724
2015,1,Allegany,401,South Penn Elementary,Prekindergarten,90,20150724
2015,1,Allegany,401,South Penn Elementary,Kindergarten,74,20150724
2015,1,Allegany,401,South Penn Elementary,Grade 1,84,20150724
2015,1,Allegany,401,South Penn Elementary,Grade 2,69,20150724
2015,1,Allegany,401,South Penn Elementary,Grade 3,73,20150724
2015,1,Allegany,401,South Penn Elementary,Grade 4,60,20150724
2015,1,Allegany,401,South Penn Elementary,Grade 5,78,20150724
2015,1,Allegany,401,South Penn Elementary,Total Enrollment,528,20150724
2015,1,Allegany,402,John Humbird Elementary,Prekindergarten,37,20150724
2015,1,Allegany,402,John Humbird Elementary,Kindergarten,47,20150724
2015,1,Allegany,402,John Humbird Elementary,Grade 1,49,20150724
2015,1,Allegany,402,John Humbird Elementary,Grade 2,46,20150724
2015,1,Allegany,402,John Humbird Elementary,Grade 3,47,20150724
2015,1,Allegany,402,John Humbird Elementary,Grade 4,43,20150724
2015,1,Allegany,402,John Humbird Elementary,Grade 5,40,20150724
2015,1,Allegany,402,John Humbird Elementary,Total Enrollment,309,20150724
2015,1,Allegany,405,Fort Hill High,Grade 9,222,20150724
2015,1,Allegany,405,Fort Hill High,Grade 10,211,20150724
2015,1,Allegany,405,Fort Hill High,Grade 11,147,20150724
2015,1,Allegany,405,Fort Hill High,Grade 12,182,20150724
2015,1,Allegany,405,Fort Hill High,Total Enrollment,762,20150724
2015,1,Allegany,406,Washington Middle,Grade 6,217,20150724
2015,1,Allegany,406,Washington Middle,Grade 7,220,20150724
2015,1,Allegany,406,Washington Middle,Grade 8,232,20150724
2015,1,Allegany,406,Washington Middle,Total Enrollment,669,20150724
2015,1,Allegany,502,Northeast Elementary,Prekindergarten,34,20150724
2015,1,Allegany,502,Northeast Elementary,Kindergarten,43,20150724
2015,1,Allegany,502,Northeast Elementary,Grade 1,49,20150724
2015,1,Allegany,502,Northeast Elementary,Grade 2,47,20150724
2015,1,Allegany,502,Northeast Elementary,Grade 3,50,20150724
2015,1,Allegany,502,Northeast Elementary,Grade 4,48,20150724
2015,1,Allegany,502,Northeast Elementary,Grade 5,45,20150724
2015,1,Allegany,502,Northeast Elementary,Total Enrollment,316,20150724
2015,1,Allegany,504,Braddock Middle,Grade 6,195,20150724
2015,1,Allegany,504,Braddock Middle,Grade 7,195,20150724
2015,1,Allegany,504,Braddock Middle,Grade 8,186,20150724
2015,1,Allegany,504,Braddock Middle,Total Enrollment,576,20150724
2015,1,Allegany,601,Center for Career & Technical Education,Grade 11,155,20150724
2015,1,Allegany,601,Center for Career & Technical Education,Grade 12,139,20150724
2015,1,Allegany,601,Center for Career & Technical Education,Total Enrollment,294,20150724
2015,1,Allegany,603,West Side Elementary,Prekindergarten,32,20150724
2015,1,Allegany,603,West Side Elementary,Kindergarten,66,20150724
2015,1,Allegany,603,West Side Elementary,Grade 1,72,20150724
2015,1,Allegany,603,West Side Elementary,Grade 2,66,20150724
2015,1,Allegany,603,West Side Elementary,Grade 3,45,20150724
2015,1,Allegany,603,West Side Elementary,Grade 4,54,20150724
2015,1,Allegany,603,West Side Elementary,Grade 5,64,20150724
2015,1,Allegany,603,West Side Elementary,Total Enrollment,399,20150724
2015,1,Allegany,606,Allegany High,Grade 9,206,20150724
2015,1,Allegany,606,Allegany High,Grade 10,171,20150724
2015,1,Allegany,606,Allegany High,Grade 11,148,20150724
2015,1,Allegany,606,Allegany High,Grade 12,146,20150724
2015,1,Allegany,606,Allegany High,Total Enrollment,671,20150724
2015,1,Allegany,701,Cresaptown Elementary,Prekindergarten,40,20150724
2015,1,Allegany,701,Cresaptown Elementary,Kindergarten,60,20150724
2015,1,Allegany,701,Cresaptown Elementary,Grade 1,49,20150724
2015,1,Allegany,701,Cresaptown Elementary,Grade 2,54,20150724
2015,1,Allegany,701,Cresaptown Elementary,Grade 3,45,20150724
2015,1,Allegany,701,Cresaptown Elementary,Grade 4,56,20150724
2015,1,Allegany,701,Cresaptown Elementary,Grade 5,60,20150724
2015,1,Allegany,701,Cresaptown Elementary,Total Enrollment,364,20150724
2015,1,Allegany,702,Bel Air Elementary,Prekindergarten,23,20150724
2015,1,Allegany,702,Bel Air Elementary,Kindergarten,35,20150724
2015,1,Allegany,702,Bel Air Elementary,Grade 1,31,20150724
2015,1,Allegany,702,Bel Air Elementary,Grade 2,36,20150724
2015,1,Allegany,702,Bel Air Elementary,Grade 3,40,20150724
2015,1,Allegany,702,Bel Air Elementary,Grade 4,25,20150724
2015,1,Allegany,702,Bel Air Elementary,Grade 5,23,20150724
2015,1,Allegany,702,Bel Air Elementary,Total Enrollment,213,20150724
2015,1,Allegany,801,Westernport Elementary,Prekindergarten,32,20150724
2015,1,Allegany,801,Westernport Elementary,Kindergarten,38,20150724
2015,1,Allegany,801,Westernport Elementary,Grade 1,40,20150724
2015,1,Allegany,801,Westernport Elementary,Grade 2,36,20150724
2015,1,Allegany,801,Westernport Elementary,Grade 3,44,20150724
2015,1,Allegany,801,Westernport Elementary,Grade 4,38,20150724
2015,1,Allegany,801,Westernport Elementary,Grade 5,36,20150724
2015,1,Allegany,801,Westernport Elementary,Total Enrollment,264,20150724
2015,1,Allegany,802,Westmar Middle,Grade 6,90,20150724
2015,1,Allegany,802,Westmar Middle,Grade 7,87,20150724
2015,1,Allegany,802,Westmar Middle,Grade 8,80,20150724
2015,1,Allegany,802,Westmar Middle,Total Enrollment,257,20150724
2015,1,Allegany,1001,George's Creek Elementary,Prekindergarten,30,20150724
2015,1,Allegany,1001,George's Creek Elementary,Kindergarten,51,20150724
2015,1,Allegany,1001,George's Creek Elementary,Grade 1,34,20150724
2015,1,Allegany,1001,George's Creek Elementary,Grade 2,48,20150724
2015,1,Allegany,1001,George's Creek Elementary,Grade 3,45,20150724
2015,1,Allegany,1001,George's Creek Elementary,Grade 4,46,20150724
2015,1,Allegany,1001,George's Creek Elementary,Grade 5,57,20150724
2015,1,Allegany,1001,George's Creek Elementary,Total Enrollment,311,20150724
2015,1,Allegany,1101,Frost Elementary,Prekindergarten,21,20150724
2015,1,Allegany,1101,Frost Elementary,Kindergarten,37,20150724
2015,1,Allegany,1101,Frost Elementary,Grade 1,43,20150724
2015,1,Allegany,1101,Frost Elementary,Grade 2,36,20150724
2015,1,Allegany,1101,Frost Elementary,Grade 3,35,20150724
2015,1,Allegany,1101,Frost Elementary,Grade 4,40,20150724
2015,1,Allegany,1101,Frost Elementary,Grade 5,39,20150724
2015,1,Allegany,1101,Frost Elementary,Total Enrollment,251,20150724
2015,1,Allegany,1301,Mount Savage Middle,Grade 6,131,20150724
2015,1,Allegany,1301,Mount Savage Middle,Grade 7,129,20150724
2015,1,Allegany,1301,Mount Savage Middle,Grade 8,126,20150724
2015,1,Allegany,1301,Mount Savage Middle,Total Enrollment,386,20150724
2015,1,Allegany,1302,Mt. Savage Elementary,Prekindergarten,19,20150724
2015,1,Allegany,1302,Mt. Savage Elementary,Kindergarten,28,20150724
2015,1,Allegany,1302,Mt. Savage Elementary,Grade 1,27,20150724
2015,1,Allegany,1302,Mt. Savage Elementary,Grade 2,37,20150724
2015,1,Allegany,1302,Mt. Savage Elementary,Grade 3,31,20150724
2015,1,Allegany,1302,Mt. Savage Elementary,Grade 4,32,20150724
2015,1,Allegany,1302,Mt. Savage Elementary,Grade 5,30,20150724
2015,1,Allegany,1302,Mt. Savage Elementary,Total Enrollment,204,20150724
2015,1,Allegany,2404,Mountain Ridge High School,Grade 9,257,20150724
2015,1,Allegany,2404,Mountain Ridge High School,Grade 10,218,20150724
2015,1,Allegany,2404,Mountain Ridge High School,Grade 11,184,20150724
2015,1,Allegany,2404,Mountain Ridge High School,Grade 12,204,20150724
2015,1,Allegany,2404,Mountain Ridge High School,Total Enrollment,863,20150724
2015,1,Allegany,2801,Beall Elementary,Prekindergarten,77,20150724
2015,1,Allegany,2801,Beall Elementary,Kindergarten,71,20150724
2015,1,Allegany,2801,Beall Elementary,Grade 1,66,20150724
2015,1,Allegany,2801,Beall Elementary,Grade 2,66,20150724
2015,1,Allegany,2801,Beall Elementary,Grade 3,43,20150724
2015,1,Allegany,2801,Beall Elementary,Grade 4,62,20150724
2015,1,Allegany,2801,Beall Elementary,Grade 5,66,20150724
2015,1,Allegany,2801,Beall Elementary,Total Enrollment,451,20150724
2015,1,Allegany,2901,Cash Valley Elementary,Prekindergarten,40,20150724
2015,1,Allegany,2901,Cash Valley Elementary,Kindergarten,46,20150724
2015,1,Allegany,2901,Cash Valley Elementary,Grade 1,29,20150724
2015,1,Allegany,2901,Cash Valley Elementary,Grade 2,39,20150724
2015,1,Allegany,2901,Cash Valley Elementary,Grade 3,56,20150724
2015,1,Allegany,2901,Cash Valley Elementary,Grade 4,41,20150724
2015,1,Allegany,2901,Cash Valley Elementary,Grade 5,56,20150724
2015,1,Allegany,2901,Cash Valley Elementary,Total Enrollment,307,20150724
2015,1,Allegany,2902,Parkside Elementary,Prekindergarten,14,20150724
2015,1,Allegany,2902,Parkside Elementary,Kindergarten,32,20150724
2015,1,Allegany,2902,Parkside Elementary,Grade 1,33,20150724
2015,1,Allegany,2902,Parkside Elementary,Grade 2,38,20150724
2015,1,Allegany,2902,Parkside Elementary,Grade 3,41,20150724
2015,1,Allegany,2902,Parkside Elementary,Grade 4,30,20150724
2015,1,Allegany,2902,Parkside Elementary,Grade 5,45,20150724
2015,1,Allegany,2902,Parkside Elementary,Total Enrollment,233,20150724
2015,1,Allegany,A,All Allegany Schools,Prekindergarten,508,20150724
2015,1,Allegany,A,All Allegany Schools,Kindergarten,665,20150724
2015,1,Allegany,A,All Allegany Schools,Elementary,3214,20150724
2015,1,Allegany,A,All Allegany Schools,Middle School,1888,20150724
2015,1,Allegany,A,All Allegany Schools,High School,2590,20150724
2015,1,Allegany,A,All Allegany Schools,Total Enrollment,8865,20150724
2015,2,Anne Arundel,1023,Brooklyn Park Middle,Grade 6,247,20150724
2015,2,Anne Arundel,1023,Brooklyn Park Middle,Grade 7,270,20150724
2015,2,Anne Arundel,1023,Brooklyn Park Middle,Grade 8,224,20150724
2015,2,Anne Arundel,1023,Brooklyn Park Middle,Grade 9,*,20150724
2015,2,Anne Arundel,1023,Brooklyn Park Middle,Total Enrollment,742,20150724
2015,2,Anne Arundel,1033,Glen Burnie High,Grade 9,538,20150724
2015,2,Anne Arundel,1033,Glen Burnie High,Grade 10,514,20150724
2015,2,Anne Arundel,1033,Glen Burnie High,Grade 11,479,20150724
2015,2,Anne Arundel,1033,Glen Burnie High,Grade 12,400,20150724
2015,2,Anne Arundel,1033,Glen Burnie High,Total Enrollment,1931,20150724
2015,2,Anne Arundel,1043,Corkran Middle School,Grade 6,192,20150724
2015,2,Anne Arundel,1043,Corkran Middle School,Grade 7,188,20150724
2015,2,Anne Arundel,1043,Corkran Middle School,Grade 8,208,20150724
2015,2,Anne Arundel,1043,Corkran Middle School,Total Enrollment,588,20150724
2015,2,Anne Arundel,1053,Lindale Middle,Grade 6,375,20150724
2015,2,Anne Arundel,1053,Lindale Middle,Grade 7,243,20150724
2015,2,Anne Arundel,1053,Lindale Middle,Grade 8,278,20150724
2015,2,Anne Arundel,1053,Lindale Middle,Total Enrollment,896,20150724
2015,2,Anne Arundel,1063,Marley Middle,Grade 6,247,20150724
2015,2,Anne Arundel,1063,Marley Middle,Grade 7,263,20150724
2015,2,Anne Arundel,1063,Marley Middle,Grade 8,248,20150724
2015,2,Anne Arundel,1063,Marley Middle,Total Enrollment,758,20150724
2015,2,Anne Arundel,1082,Belle Grove Elementary,Prekindergarten,24,20150724
2015,2,Anne Arundel,1082,Belle Grove Elementary,Kindergarten,42,20150724
2015,2,Anne Arundel,1082,Belle Grove Elementary,Grade 1,45,20150724
2015,2,Anne Arundel,1082,Belle Grove Elementary,Grade 2,40,20150724
2015,2,Anne Arundel,1082,Belle Grove Elementary,Grade 3,40,20150724
2015,2,Anne Arundel,1082,Belle Grove Elementary,Grade 4,37,20150724
2015,2,Anne Arundel,1082,Belle Grove Elementary,Grade 5,33,20150724
2015,2,Anne Arundel,1082,Belle Grove Elementary,Total Enrollment,261,20150724
2015,2,Anne Arundel,1092,Brooklyn Park Elementary,Prekindergarten,27,20150724
2015,2,Anne Arundel,1092,Brooklyn Park Elementary,Kindergarten,62,20150724
2015,2,Anne Arundel,1092,Brooklyn Park Elementary,Grade 1,56,20150724
2015,2,Anne Arundel,1092,Brooklyn Park Elementary,Grade 2,67,20150724
2015,2,Anne Arundel,1092,Brooklyn Park Elementary,Grade 3,74,20150724
2015,2,Anne Arundel,1092,Brooklyn Park Elementary,Grade 4,52,20150724
2015,2,Anne Arundel,1092,Brooklyn Park Elementary,Grade 5,57,20150724
2015,2,Anne Arundel,1092,Brooklyn Park Elementary,Total Enrollment,395,20150724
2015,2,Anne Arundel,1102,Ferndale Early Education Center,Prekindergarten,81,20150724
2015,2,Anne Arundel,1102,Ferndale Early Education Center,Kindergarten,62,20150724
2015,2,Anne Arundel,1102,Ferndale Early Education Center,Total Enrollment,143,20150724
2015,2,Anne Arundel,1112,George T. Cromwell Elementary,Grade 1,69,20150724
2015,2,Anne Arundel,1112,George T. Cromwell Elementary,Grade 2,59,20150724
2015,2,Anne Arundel,1112,George T. Cromwell Elementary,Grade 3,73,20150724
2015,2,Anne Arundel,1112,George T. Cromwell Elementary,Grade 4,65,20150724
2015,2,Anne Arundel,1112,George T. Cromwell Elementary,Grade 5,43,20150724
2015,2,Anne Arundel,1112,George T. Cromwell Elementary,Total Enrollment,309,20150724
2015,2,Anne Arundel,1122,Freetown Elementary,Prekindergarten,48,20150724
2015,2,Anne Arundel,1122,Freetown Elementary,Kindergarten,56,20150724
2015,2,Anne Arundel,1122,Freetown Elementary,Grade 1,74,20150724
2015,2,Anne Arundel,1122,Freetown Elementary,Grade 2,68,20150724
2015,2,Anne Arundel,1122,Freetown Elementary,Grade 3,66,20150724
2015,2,Anne Arundel,1122,Freetown Elementary,Grade 4,71,20150724
2015,2,Anne Arundel,1122,Freetown Elementary,Grade 5,78,20150724
2015,2,Anne Arundel,1122,Freetown Elementary,Total Enrollment,461,20150724
2015,2,Anne Arundel,1132,Glendale Elementary,Prekindergarten,36,20150724
2015,2,Anne Arundel,1132,Glendale Elementary,Kindergarten,57,20150724
2015,2,Anne Arundel,1132,Glendale Elementary,Grade 1,84,20150724
2015,2,Anne Arundel,1132,Glendale Elementary,Grade 2,72,20150724
2015,2,Anne Arundel,1132,Glendale Elementary,Grade 3,50,20150724
