Year,LSS,LSS Name,School,School Name,Grade,Enrolled Count,Create Date
2020,01,Allegany,0301,Flintstone Elementary,Prekindergarten Age 4,19,20200805
2020,01,Allegany,0301,Flintstone Elementary,Kindergarten,28,20200805
2020,01,Allegany,0301,Flintstone Elementary,Grade 1,31,20200805
2020,01,Allegany,0301,Flintstone Elementary,Grade 2,40,20200805
2020,01,Allegany,0301,Flintstone Elementary,Grade 3,30,20200805
2020,01,Allegany,0301,Flintstone Elementary,Grade 4,38,20200805
2020,01,Allegany,0301,Flintstone Elementary,Grade 5,35,20200805
2020,01,Allegany,0301,Flintstone Elementary,All Grades,221,20200805
2020,01,Allegany,0401,South Penn Elementary,Prekindergarten Age 4,97,20200805
2020,01,Allegany,0401,South Penn Elementary,Kindergarten,63,20200805
2020,01,Allegany,0401,South Penn Elementary,Grade 1,87,20200805
2020,01,Allegany,0401,South Penn Elementary,Grade 2,78,20200805
2020,01,Allegany,0401,South Penn Elementary,Grade 3,83,20200805
2020,01,Allegany,0401,South Penn Elementary,Grade 4,83,20200805
2020,01,Allegany,0401,South Penn Elementary,Grade 5,80,20200805
2020,01,Allegany,0401,South Penn Elementary,All Grades,571,20200805
2020,01,Allegany,0402,John Humbird Elementary,Prekindergarten Age 4,26,20200805
2020,01,Allegany,0402,John Humbird Elementary,Kindergarten,31,20200805
2020,01,Allegany,0402,John Humbird Elementary,Grade 1,35,20200805
2020,01,Allegany,0402,John Humbird Elementary,Grade 2,43,20200805
2020,01,Allegany,0402,John Humbird Elementary,Grade 3,54,20200805
2020,01,Allegany,0402,John Humbird Elementary,Grade 4,48,20200805
2020,01,Allegany,0402,John Humbird Elementary,Grade 5,42,20200805
2020,01,Allegany,0402,John Humbird Elementary,All Grades,279,20200805
2020,01,Allegany,0405,Fort Hill High,Grade 9,181,20200805
2020,01,Allegany,0405,Fort Hill High,Grade 10,167,20200805
2020,01,Allegany,0405,Fort Hill High,Grade 11,154,20200805
2020,01,Allegany,0405,Fort Hill High,Grade 12,170,20200805
2020,01,Allegany,0405,Fort Hill High,All Grades,672,20200805
2020,01,Allegany,0406,Washington Middle,Grade 6,209,20200805
2020,01,Allegany,0406,Washington Middle,Grade 7,203,20200805
2020,01,Allegany,0406,Washington Middle,Grade 8,200,20200805
2020,01,Allegany,0406,Washington Middle,All Grades,612,20200805
2020,01,Allegany,0502,Northeast Elementary,Prekindergarten Age 4,29,20200805
2020,01,Allegany,0502,Northeast Elementary,Kindergarten,52,20200805
2020,01,Allegany,0502,Northeast Elementary,Grade 1,42,20200805
2020,01,Allegany,0502,Northeast Elementary,Grade 2,53,20200805
2020,01,Allegany,0502,Northeast Elementary,Grade 3,52,20200805
2020,01,Allegany,0502,Northeast Elementary,Grade 4,48,20200805
2020,01,Allegany,0502,Northeast Elementary,Grade 5,43,20200805
2020,01,Allegany,0502,Northeast Elementary,All Grades,319,20200805
2020,01,Allegany,0504,Braddock Middle,Grade 6,202,20200805
2020,01,Allegany,0504,Braddock Middle,Grade 7,198,20200805
2020,01,Allegany,0504,Braddock Middle,Grade 8,220,20200805
2020,01,Allegany,0504,Braddock Middle,All Grades,620,20200805
2020,01,Allegany,0601,Center for Career & Technical Education,Grade 11,126,20200805
2020,01,Allegany,0601,Center for Career & Technical Education,Grade 12,77,20200805
2020,01,Allegany,0601,Center for Career & Technical Education,All Grades,203,20200805
2020,01,Allegany,0603,West Side Elementary,Prekindergarten Age 4,26,20200805
2020,01,Allegany,0603,West Side Elementary,Kindergarten,58,20200805
2020,01,Allegany,0603,West Side Elementary,Grade 1,60,20200805
2020,01,Allegany,0603,West Side Elementary,Grade 2,58,20200805
2020,01,Allegany,0603,West Side Elementary,Grade 3,58,20200805
2020,01,Allegany,0603,West Side Elementary,Grade 4,47,20200805
2020,01,Allegany,0603,West Side Elementary,Grade 5,60,20200805
2020,01,Allegany,0603,West Side Elementary,All Grades,367,20200805
2020,01,Allegany,0606,Allegany High,Grade 9,168,20200805
2020,01,Allegany,0606,Allegany High,Grade 10,210,20200805
2020,01,Allegany,0606,Allegany High,Grade 11,170,20200805
2020,01,Allegany,0606,Allegany High,Grade 12,173,20200805
2020,01,Allegany,0606,Allegany High,All Grades,721,20200805
2020,01,Allegany,0701,Cresaptown Elementary,Prekindergarten Age 4,22,20200805
