Academic Year,LEA Number,LEA Name,School Number,School Name,Grade,Enrolled Count,Create Date
2013,01,Allegany,0301,Flintstone Elementary,Prekindergarten,23,20130702
2013,01,Allegany,0301,Flintstone Elementary,Kindergarten,34,20130702
2013,01,Allegany,0301,Flintstone Elementary,Grade 1,35,20130702
2013,01,Allegany,0301,Flintstone Elementary,Grade 2,30,20130702
2013,01,Allegany,0301,Flintstone Elementary,Grade 3,31,20130702
2013,01,Allegany,0301,Flintstone Elementary,Grade 4,29,20130702
2013,01,Allegany,0301,Flintstone Elementary,Grade 5,38,20130702
2013,01,Allegany,0301,Flintstone Elementary,Total Enrollment,220,20130702
2013,01,Allegany,0401,South Penn Elementary,Prekindergarten,82,20130702
2013,01,Allegany,0401,South Penn Elementary,Kindergarten,64,20130702
2013,01,Allegany,0401,South Penn Elementary,Grade 1,66,20130702
2013,01,Allegany,0401,South Penn Elementary,Grade 2,56,20130702
2013,01,Allegany,0401,South Penn Elementary,Grade 3,76,20130702
2013,01,Allegany,0401,South Penn Elementary,Grade 4,64,20130702
2013,01,Allegany,0401,South Penn Elementary,Grade 5,87,20130702
2013,01,Allegany,0401,South Penn Elementary,Total Enrollment,495,20130702
2013,01,Allegany,0402,John Humbird Elementary,Prekindergarten,31,20130702
2013,01,Allegany,0402,John Humbird Elementary,Kindergarten,48,20130702
2013,01,Allegany,0402,John Humbird Elementary,Grade 1,45,20130702
2013,01,Allegany,0402,John Humbird Elementary,Grade 2,39,20130702
2013,01,Allegany,0402,John Humbird Elementary,Grade 3,46,20130702
2013,01,Allegany,0402,John Humbird Elementary,Grade 4,37,20130702
2013,01,Allegany,0402,John Humbird Elementary,Grade 5,45,20130702
2013,01,Allegany,0402,John Humbird Elementary,Total Enrollment,291,20130702
2013,01,Allegany,0405,Fort Hill High,Grade 9,213,20130702
2013,01,Allegany,0405,Fort Hill High,Grade 10,232,20130702
2013,01,Allegany,0405,Fort Hill High,Grade 11,136,20130702
2013,01,Allegany,0405,Fort Hill High,Grade 12,156,20130702
2013,01,Allegany,0405,Fort Hill High,Total Enrollment,737,20130702
2013,01,Allegany,0406,Washington Middle,Grade 6,236,20130702
2013,01,Allegany,0406,Washington Middle,Grade 7,220,20130702
2013,01,Allegany,0406,Washington Middle,Grade 8,212,20130702
2013,01,Allegany,0406,Washington Middle,Total Enrollment,668,20130702
2013,01,Allegany,0502,Northeast Elementary,Prekindergarten,35,20130702
2013,01,Allegany,0502,Northeast Elementary,Kindergarten,54,20130702
2013,01,Allegany,0502,Northeast Elementary,Grade 1,46,20130702
2013,01,Allegany,0502,Northeast Elementary,Grade 2,53,20130702
2013,01,Allegany,0502,Northeast Elementary,Grade 3,45,20130702
2013,01,Allegany,0502,Northeast Elementary,Grade 4,50,20130702
2013,01,Allegany,0502,Northeast Elementary,Grade 5,51,20130702
2013,01,Allegany,0502,Northeast Elementary,Total Enrollment,334,20130702
2013,01,Allegany,0504,Braddock Middle,Grade 6,191,20130702
2013,01,Allegany,0504,Braddock Middle,Grade 7,201,20130702
2013,01,Allegany,0504,Braddock Middle,Grade 8,176,20130702
2013,01,Allegany,0504,Braddock Middle,Total Enrollment,568,20130702
2013,01,Allegany,0601,Center for Career & Technology Education,Grade 11,154,20130702
2013,01,Allegany,0601,Center for Career & Technology Education,Grade 12,143,20130702
2013,01,Allegany,0601,Center for Career & Technology Education,Total Enrollment,297,20130702
2013,01,Allegany,0602,Allegany County Evening High School,Grade 12,*,20130702
2013,01,Allegany,0602,Allegany County Evening High School,Total Enrollment,*,20130702
2013,01,Allegany,0603,West Side Elementary,Prekindergarten,37,20130702
2013,01,Allegany,0603,West Side Elementary,Kindergarten,64,20130702
2013,01,Allegany,0603,West Side Elementary,Grade 1,48,20130702
2013,01,Allegany,0603,West Side Elementary,Grade 2,48,20130702
2013,01,Allegany,0603,West Side Elementary,Grade 3,65,20130702
2013,01,Allegany,0603,West Side Elementary,Grade 4,45,20130702
2013,01,Allegany,0603,West Side Elementary,Grade 5,55,20130702
2013,01,Allegany,0603,West Side Elementary,Total Enrollment,362,20130702
2013,01,Allegany,0606,Allegany High,Grade 9,190,20130702
2013,01,Allegany,0606,Allegany High,Grade 10,177,20130702
2013,01,Allegany,0606,Allegany High,Grade 11,163,20130702
2013,01,Allegany,0606,Allegany High,Grade 12,156,20130702
2013,01,Allegany,0606,Allegany High,Total Enrollment,686,20130702
2013,01,Allegany,0701,Cresaptown Elementary,Prekindergarten,34,20130702
2013,01,Allegany,0701,Cresaptown Elementary,Kindergarten,60,20130702
2013,01,Allegany,0701,Cresaptown Elementary,Grade 1,47,20130702
2013,01,Allegany,0701,Cresaptown Elementary,Grade 2,58,20130702
2013,01,Allegany,0701,Cresaptown Elementary,Grade 3,57,20130702
2013,01,Allegany,0701,Cresaptown Elementary,Grade 4,56,20130702
2013,01,Allegany,0701,Cresaptown Elementary,Grade 5,56,20130702
2013,01,Allegany,0701,Cresaptown Elementary,Total Enrollment,368,20130702
2013,01,Allegany,0702,Bel Air Elementary,Prekindergarten,20,20130702
2013,01,Allegany,0702,Bel Air Elementary,Kindergarten,31,20130702
